group,model,rhoi,rhow
AWI,PISM1,910.0,1023.0
DOE,MALI,910.0,1023.0
ILTS_PIK,SICOPOLIS,910.0,1028.0
IMAU,IMAUICE1,910.0,1028.0
IMAU,IMAUICE2,910.0,1028.0
JPL1,ISSM,917.0,1023.0
LSCE,GRISLI,918.0,1023.0
NCAR,CISM,910.0,1026.0
PIK,PISM1,910.0,1028.0
PIK,PISM2,910.0,1028.0
UCIJPL,ISSM,917.0,1023.0
ULB,fETISh_16km,910.0,1028.0
ULB,fETISh_32km,910.0,1028.0
UTAS,ElmerIce,900.0,1025.0
VUB,AISMPALEO,910.0,1028.0
VUW,PISM,910.0,1028.0
