aogcm,sector,pr_clim,evspsbl_clim,smb_clim,ts_clim,mrro_clim
noresm1-m_rcp26,11,4.665651886170963e-06,5.797931521556166e-07,3.97089752368629e-06,237.2279815673828,1.1496110374764612e-07
noresm1-m_rcp26,12,2.0593441149685532e-05,6.30478734819917e-06,1.4243397345126141e-05,260.60931396484375,4.525923102960405e-08
noresm1-m_rcp26,13,2.231449616374448e-05,8.688654816069175e-06,1.3568476788350381e-05,263.54046630859375,5.736605501738268e-08
noresm1-m_rcp26,14,1.2234347195771988e-05,2.566187959018862e-06,9.51947095018113e-06,248.70736694335938,1.4868919606669806e-07
noresm1-m_rcp26,15,1.6139852959895507e-05,4.114563125767745e-06,1.1954790352319833e-05,260.5597839355469,7.049854389151733e-08
noresm1-m_rcp26,16,1.5955765775288455e-05,1.507968363512191e-06,1.3977475646242965e-05,255.5723114013672,4.7032133920765773e-07
noresm1-m_rcp26,17,2.342067818972282e-05,7.322888905036962e-06,1.5199808331090026e-05,270.2250671386719,8.979810672826716e-07
noresm1-m_rcp26,18,1.9848816009471193e-05,2.2750577954866458e-06,1.6524041711818427e-05,258.17840576171875,1.049715820045094e-06
miroc-esm-chem_rcp85,1,1.8724333131103776e-05,7.5461898632056545e-06,1.1152893421240151e-05,268.2934265136719,2.525041153944585e-08
miroc-esm-chem_rcp85,2,9.268678695661947e-06,2.20278730012069e-06,6.872233825561125e-06,252.85313415527344,1.936559783644043e-07
miroc-esm-chem_rcp85,3,2.158450661227107e-05,9.61540536081884e-06,1.19438464025734e-05,270.268310546875,2.5254863089685387e-08
miroc-esm-chem_rcp85,4,1.360756141366437e-05,8.25174652163696e-07,1.2638409316423349e-05,248.6991424560547,1.4397575398561457e-07
miroc-esm-chem_rcp85,5,8.995501957542729e-06,1.0697674497350818e-06,7.859017387090717e-06,246.8505096435547,6.671715624406716e-08
miroc-esm-chem_rcp85,6,3.6858687053609174e-06,8.325542353304627e-07,2.8534852845041314e-06,233.4948272705078,-1.7086863868254198e-10
miroc-esm-chem_rcp85,7,2.152202432625927e-05,5.9990115914843045e-06,1.5523011825280264e-05,260.5390319824219,0.0
miroc-esm-chem_rcp85,8,1.839286596805323e-05,5.51302309759194e-06,1.2879841960966587e-05,255.91546630859375,0.0
miroc-esm-chem_rcp85,9,6.757821211067494e-06,1.3213317515692324e-06,5.4258907766779885e-06,239.2883758544922,1.059888177223911e-08
