sectors,year,temperature,regions,aogcm
1.0,2089,1.6636659,1.0,miroc-esm-chem_rcp8.5
1.0,2090,1.6570805,1.0,miroc-esm-chem_rcp8.5
1.0,2091,1.670047,1.0,miroc-esm-chem_rcp8.5
1.0,2092,1.6882304,1.0,miroc-esm-chem_rcp8.5
1.0,2093,1.6822228,1.0,miroc-esm-chem_rcp8.5
1.0,2094,1.6747533,1.0,miroc-esm-chem_rcp8.5
1.0,2095,1.6900927,1.0,miroc-esm-chem_rcp8.5
1.0,2096,1.685523,1.0,miroc-esm-chem_rcp8.5
1.0,2097,1.6854757,1.0,miroc-esm-chem_rcp8.5
1.0,2098,1.6900723,1.0,miroc-esm-chem_rcp8.5
1.0,2099,1.6973647,1.0,miroc-esm-chem_rcp8.5
1.0,2100,1.7058367,1.0,miroc-esm-chem_rcp8.5
2.0,1995,-1.0234325,1.0,miroc-esm-chem_rcp8.5
2.0,1996,-1.0757872,1.0,miroc-esm-chem_rcp8.5
2.0,1997,-1.1065558,1.0,miroc-esm-chem_rcp8.5
2.0,1998,-1.0309737,1.0,miroc-esm-chem_rcp8.5
2.0,1999,-1.0076646,1.0,miroc-esm-chem_rcp8.5
2.0,2000,-0.97062415,1.0,miroc-esm-chem_rcp8.5
2.0,2001,-0.9655713,1.0,miroc-esm-chem_rcp8.5
2.0,2002,-0.9800659,1.0,miroc-esm-chem_rcp8.5
2.0,2003,-0.9675783,1.0,miroc-esm-chem_rcp8.5
2.0,2004,-0.9598146,1.0,miroc-esm-chem_rcp8.5
2.0,2005,-0.90935224,1.0,miroc-esm-chem_rcp8.5
2.0,2006,-0.9240911,1.0,miroc-esm-chem_rcp8.5
2.0,2007,-0.9610401,1.0,miroc-esm-chem_rcp8.5
2.0,2008,-0.9710342,1.0,miroc-esm-chem_rcp8.5
2.0,2009,-1.0178969,1.0,miroc-esm-chem_rcp8.5
2.0,2010,-1.0360737,1.0,miroc-esm-chem_rcp8.5
2.0,2011,-0.9986237,1.0,miroc-esm-chem_rcp8.5
2.0,2012,-0.9153767,1.0,miroc-esm-chem_rcp8.5
2.0,2013,-0.89847946,1.0,miroc-esm-chem_rcp8.5
2.0,2014,-0.93218815,1.0,miroc-esm-chem_rcp8.5
2.0,2015,-0.97563946,1.0,miroc-esm-chem_rcp8.5
2.0,2016,-0.95981187,1.0,miroc-esm-chem_rcp8.5
2.0,2017,-0.939422,1.0,miroc-esm-chem_rcp8.5
2.0,2018,-0.88041,1.0,miroc-esm-chem_rcp8.5
2.0,2019,-0.85695255,1.0,miroc-esm-chem_rcp8.5
2.0,2020,-0.85473716,1.0,miroc-esm-chem_rcp8.5
2.0,2021,-0.84272087,1.0,miroc-esm-chem_rcp8.5
2.0,2022,-0.8261214,1.0,miroc-esm-chem_rcp8.5
2.0,2023,-0.8250673,1.0,miroc-esm-chem_rcp8.5
2.0,2024,-0.8102468,1.0,miroc-esm-chem_rcp8.5
2.0,2025,-0.7983417,1.0,miroc-esm-chem_rcp8.5
2.0,2026,-0.79293805,1.0,miroc-esm-chem_rcp8.5
2.0,2027,-0.7726866,1.0,miroc-esm-chem_rcp8.5
