sectors,year,mask,regions,aogcm
4.0,2058,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2059,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2060,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2061,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2062,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2063,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2064,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2065,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2066,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2067,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2068,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2069,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2070,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2071,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2072,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2073,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2074,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2075,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2076,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2077,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2078,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2079,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2080,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2081,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2082,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2083,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2084,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2085,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2086,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2087,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2088,0.0,1.0,miroc-esm-chem_rcp8.5
4.0,2089,0.0,1.0,miroc-esm-chem_rcp8.5
